block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method
d-block,Fe-O,O,Fe2O3_715276_POSCAR,-0.05611130092025146,6.6880372782,-0.1459855921543,-0.08987429123404853,6.1735728721,12.6043779473,35,local_max_drop
d-block,Fe-O,O,Fe2O3_510080_POSCAR,-0.05598426496405566,6.46588875,-0.148669939843,-0.09268567487894434,6.2072532,12.67314195,35,local_max_drop
d-block,Fe-S,S,Fe3S_1189032_POSCAR,-0.11638966434808062,7.4709782,-0.23335261928889,-0.11696295494080938,6.67051625,13.07421185,35,local_max_drop
d-block,Fe-S,S,Fe11S12_1225858_POSCAR,-0.1074609909203812,9.0331575861,-0.34791929944886,-0.24045830852847883,8.3879320442,15.8080257756,35,local_max_drop
d-block,Fe-S,S,Fe2S_851357_POSCAR,-0.10578269978472296,7.1123326346,-0.25086715441454,-0.14508445462981703,6.604308875,12.4465821106,35,local_max_drop
d-block,Fe-S,S,Fe7S8_21688_POSCAR,-0.09887307269347648,9.302750002,-0.3230669674128,-0.22419389471932352,8.638267859,16.2798125035,35,local_max_drop
d-block,Fe-S,S,Fe2S_684641_POSCAR,-0.09580632763414482,6.4863140503,-0.2311386614558,-0.1353323338216552,5.7913518306,11.351049588,35,local_max_drop
d-block,Fe-S,S,Fe7S8_556435_POSCAR,-0.07969159809679585,9.21487,-0.31960388311789,-0.23991228502109416,8.8857675,16.1260225,35,local_max_drop
d-block,Fe-S,S,Fe7S12_684707_POSCAR,-0.06811259121148727,7.5653298,-0.3729346048142,-0.3048220136027127,7.29513945,13.23932715,35,local_max_drop
d-block,Fe-S,S,FeS_2779_POSCAR,-0.06377356986547889,6.8954145735,-0.19005346235382,-0.12627989248834112,6.3846431236,12.5139005222,35,local_max_drop
d-block,Hf-O,O,HfO2_1244885_POSCAR,-0.1581966049088147,15.8250651942,-0.51248685383251,-0.3542902489236953,14.7700608479,25.8476064839,35,local_max_drop
d-block,Hf-O,O,HfO2_1245112_POSCAR,-0.15816907171044575,15.8236662236,-0.50844260805045,-0.3502735363400043,14.768755142,25.8453214985,35,local_max_drop
d-block,Hf-O,O,HfO2_1245226_POSCAR,-0.15795074418975358,16.1172993856,-0.50852208333587,-0.35057133914611643,15.0428127599,26.3249223298,35,local_max_drop
d-block,Hf-O,O,HfO2_1244883_POSCAR,-0.1572269177311728,16.4906920661,-0.50927263143579,-0.35204571370461724,15.3913125951,26.9347970413,35,local_max_drop
d-block,Hf-O,O,HfO2_1245107_POSCAR,-0.15499392487257668,16.3695302672,-0.51036404042911,-0.3553701155565333,15.2782282494,26.7368994364,35,local_max_drop
d-block,Hf-O,O,HfO2_776097_POSCAR,-0.05499622149871011,7.21492713,-0.18525934251305,-0.1302631210143399,6.733931988,11.784380979,35,local_max_drop
d-block,Hf-O,O,HfO2_1858_POSCAR,-0.04925973658513695,7.304741328,-0.15991149622255,-0.11065175963741304,7.052853696,12.342493968,35,local_max_drop
d-block,Hf-O,O,HfO2_775757_POSCAR,-0.04252188874282381,14.6359104575,-0.14417780614424,-0.10165591740141619,14.13122389,24.7296418075,35,local_max_drop
d-block,Mn-O,O,Mn2O3_778470_POSCAR,-0.5650836296435212,11.4689797155,-1.2182071874956,-0.6531235578520788,10.194648636,20.8140742985,35,local_max_drop
d-block,Mn-O,O,Mn2O3_565203_POSCAR,-0.3904642848396677,12.4786779,-0.72994475268894,-0.33948046784927227,11.5187796,23.51750835,35,local_max_drop
d-block,Mn-O,O,Mn2O3_510604_POSCAR,-0.3882897864959043,12.7154629305,-0.71329783941133,-0.32500805291542567,11.7735767875,23.0762105035,35,local_max_drop
d-block,Mn-O,O,Mn2O3_1172875_POSCAR,-0.3809237315340661,12.4543497,-0.71924377535252,-0.33832004381845393,11.4963228,23.47165905,35,local_max_drop
d-block,Mn-O,O,Mn2O3_1204718_POSCAR,-0.3246782312700588,14.2502523635,-0.72567992911292,-0.4010016978428612,13.1946781144,25.8615691042,35,local_max_drop
d-block,Mn-O,O,Mn2O3_1203190_POSCAR,-0.3244483586930519,12.348482681,-0.72435308484506,-0.3999047261520081,11.4337802602,22.41020931,35,local_max_drop
