block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,Mg-O,O,MgO_1180973_POSCAR,-0.0699799487304734,4.4798256535,-0.12863145092456,-0.0586515021940865,3.8825155664,7.3170485675,35,local_max_drop,mp-1180973,MgO,Trigonal,R-3m,166,0.05972853,-2.9785806399999992,False,3.8943,False,3.449450480909065,16,155.21783802093498,9.701114876308436,103.57092076293426,0.6672617147841291,66.72617147841291
s-block,Mg-O,O,MgO_1190649_POSCAR,-0.0685770043871701,19.2829373425,-0.12810672628754,-0.0595297219003698,16.7118790302,31.4954643261,35,local_max_drop,mp-1190649,MgO,Monoclinic,Cm,8,0.153608795416666,-2.884700374583333,False,2.7412,False,2.395453624872636,24,335.2702640269613,13.96959433445672,155.3563811444012,0.46337655859604654,46.33765585960465
s-block,Mg-O,O,MgO_1191789_POSCAR,-0.0586250071292787,13.101644168,-0.11053265935111,-0.0519076522218312,11.3547582789,21.399352141,35,local_max_drop,mp-1191789,MgO,Monoclinic,C2/c,15,0.165655193333332,-2.872653976666667,False,3.304,False,2.141786909352879,24,374.9786528709004,15.624110536287517,155.3563811444012,0.4143072677736887,41.43072677736887
s-block,Mg-O,O,MgO_1192189_POSCAR,-0.0132268843109139,4.44080628,-0.19426203420629,-0.181035149895376,4.292779404,7.253316924,35,local_max_drop,mp-1192189,MgO,Hexagonal,P6_3/mmc,194,0.043237585416665,-2.995071584583334,False,0.0014,False,3.596933125469349,24,223.28031752464196,9.303346563526748,155.3563811444012,0.6957907569584837,69.57907569584837
s-block,Mg-O,O,MgO_1192043_POSCAR,-0.010811664488489,8.7888871721,-0.14947759524667,-0.1386659307581809,8.4959242664,14.3551823812,35,local_max_drop,mp-1192043,MgO,Orthorhombic,Ibam,72,0.092011632083333,-2.9462975379166663,False,3.195099999999999,False,2.966737168046806,24,270.7096464797826,11.279568603324273,155.3563811444012,0.5738856489401226,57.38856489401226
s-block,Mg-S,S,Mg149S_1185578_POSCAR,-1.617398561098014,21.3833625165,-2.4329696387693,-0.8155710776712861,18.2154569585,38.8068430855,35,local_max_drop,mp-1185578,Mg149S,Hexagonal,P-6m2,187,0.020655326666667,-0.001504465016665,False,0.0,True,1.8080709544474671,150,3355.397131552986,22.36931421035324,1754.422643591894,0.522865870955755,52.2865870955755
s-block,Na-O,O,Na2O_1245278_POSCAR,-0.7187373384955631,20.2286311059,-1.0564785733064,-0.3377412348108368,17.163686999,30.0364522482,35,local_max_drop,mp-1245278,Na2O,Triclinic,P1,1,0.146892139509803,-1.278846546409736,False,0.6804,False,2.008383844612405,102,1742.3100033111582,17.08147062069763,1343.8769615206836,0.7713190872845384,77.13190872845384
s-block,Na-O,O,Na2O_1245205_POSCAR,-0.7092369134128825,20.1017455575,-1.0515088697383,-0.3422719563254174,17.5890273628,30.7807978849,35,local_max_drop,mp-1245205,Na2O,Triclinic,P1,1,0.266280740686273,-1.159457945233265,False,0.116199999999999,False,1.8984621189416064,102,1843.1904592672417,18.07049469869845,1343.8769615206836,0.7291036879905185,72.91036879905185
s-block,Na-O,O,Na6O_1173794_POSCAR,-0.1755149005072981,15.2335222155,-0.23458409744699,-0.0590691969396918,12.0817589985,25.7393996055,35,local_max_drop,mp-1173794,Na6O,Orthorhombic,Cmm2,35,0.155431620640393,-0.455599244753693,False,0.0,True,1.030225287824974,21,744.3617190087091,35.44579614327186,348.50657430082987,0.4681951870992876,46.81951870992876
s-block,Na-O,O,NaO2_1180165_POSCAR,-0.0929620932813398,7.5329269,-0.16776100743398,-0.0747989141526401,6.7536586,12.7280489,35,local_max_drop,mp-1180165,NaO2,Orthorhombic,Pbca,61,0.077431169583332,-0.830297492543103,False,0.0,True,2.330267020671222,24,313.4770970827282,13.061545711780342,172.55429708819267,0.5504526445281414,55.04526445281414
