block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
d-block,Co-Zn-O,Co,Zn,O,ZnCo3O7_1338829_POSCAR,-0.1234821065672368,18.4852665,-0.40838001779792,-0.2848979112306832,15.7467085,33.5473355,35,local_max_drop,mp-1338829,ZnCo3O7,,,,,,,,,,88,1008.2087490646096,11.456917603006927,329.38796400685675,0.326706115486951,32.6706115486951
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1048393_POSCAR,-0.123139358814166,3.69541,-0.25822839834504,-0.135089039530874,3.2519608,7.2430036,35,local_max_drop,mp-1048393,Zn(CoO2)2,,,,,,,,,,28,278.91518970336415,9.961256775120148,116.72623528008643,0.41850081884829854,41.850081884829855
d-block,Co-Zn-O,Co,Zn,O,Zn_Co2O3_2_1043057_POSCAR,-0.1196938236595789,6.4165939625,-0.23010027998392,-0.1104064563243411,5.646602687,12.5765241665,35,local_max_drop,mp-1043057,Zn(Co2O3)2,,,,,,,,,,22,217.1068143479247,9.868491561269305,96.69678093366343,0.4453880511493385,44.53880511493385
d-block,Co-Zn-O,Co,Zn,O,Zn3Co9O16_765468_POSCAR,-0.1027928011236935,7.199932019,-0.22660969911874,-0.1238168979950464,6.3691706322,13.5691026512,35,local_max_drop,mp-765468,Zn3Co9O16,,,,,,,,,,28,275.28529054541445,9.831617519479087,117.49918435899525,0.4268269624076087,42.68269624076087
d-block,Co-Zn-O,Co,Zn,O,ZnCoO2_1291102_POSCAR,-0.1011650648951105,3.8186918001,-0.19382796407035,-0.0926628991752394,3.360448784,7.4846359281,35,local_max_drop,mp-1291102,ZnCoO2,,,,,,,,,,16,158.83665178285736,9.927290736428585,73.57553027160513,0.4632150668360151,46.32150668360151
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1048280_POSCAR,-0.1008844143191978,6.27167,-0.21485540619008,-0.1139709918708822,5.5190696,12.2924732,35,local_max_drop,mp-1048280,Zn(CoO2)2,,,,,,,,,,28,303.35149243179603,10.833981872564143,116.72623528008643,0.3847887292208742,38.47887292208742
d-block,Co-Zn-O,Co,Zn,O,ZnCoO2_754633_POSCAR,-0.0968180171479357,3.8158148,-0.19318539464717,-0.0963673774992342,3.510549616,7.478997008,35,local_max_drop,mp-754633,ZnCoO2,,,,,,,,,,16,160.41709615797794,10.026068509873621,73.57553027160513,0.45865142826889427,45.865142826889425
d-block,Co-Zn-O,Co,Zn,O,ZnCoO2_1272466_POSCAR,-0.0966797304636314,6.3444154743,-0.19257434525235,-0.0958946147887185,5.8368622364,12.4350543296,35,local_max_drop,mp-1272466,ZnCoO2,,,,,,,,,,16,160.97097202204006,10.060685751377504,73.57553027160513,0.4570732806504468,45.70732806504468
d-block,Co-Zn-O,Co,Zn,O,Zn3Co2O7_1376556_POSCAR,-0.0685208209973919,12.198809441,-0.18876407106423,-0.120243250066838,11.260439484,22.9900639465,35,local_max_drop,mp-1376556,Zn3Co2O7,,,,,,,,,,24,230.91186547182213,9.621327727992588,96.01350547545869,0.4158015235781597,41.58015235781597
d-block,Co-Zn-O,Co,Zn,O,ZnCo3O7_1044368_POSCAR,-0.0649967072659196,7.19464815,-0.19336198703213,-0.1283652797662103,6.3952428,13.05695405,35,local_max_drop,mp-1044368,ZnCo3O7,,,,,,,,,,44,533.710227051294,12.12977788752941,164.6939820034284,0.30858314803774584,30.858314803774583
d-block,Co-Zn-O,Co,Zn,O,Zn2Co3O8_1042827_POSCAR,-0.0645838923037031,7.58213274,-0.16327896459031,-0.0986950722866068,6.99889176,14.28940401,35,local_max_drop,mp-1042827,Zn2Co3O8,,,,,,,,,,26,279.0192629005906,10.731510111561176,99.96792449070688,0.3582832362592958,35.828323625929585
d-block,Co-Zn-O,Co,Zn,O,Zn4CoO5_1215675_POSCAR,-0.0588143622332977,4.210201177,-0.15810693756491,-0.0992925753316122,3.886339548,7.9346099104,35,local_max_drop,mp-1215675,Zn4CoO5,,,,,,,,,,20,237.16201866366936,11.858100933183469,89.65056560277995,0.37801400961221215,37.80140096122121
d-block,Co-Zr-O,Co,Zr,O,Zr9Co3O2_1215381_POSCAR,-0.5120746412862203,8.1208584386,-0.70306426180024,-0.1909896205140197,6.9607358045,14.2115022675,35,local_max_drop,mp-1215381,Zr9Co3O2,,,,,,,,,,28,492.7476572937464,17.5981306176338,459.1793291509871,0.9318752151413114,93.18752151413115
d-block,Co-Zr-O,Co,Zr,O,Zr6Co2O_1215347_POSCAR,-0.1553879659061491,8.2118266959,-0.21835866792627,-0.0629707020201208,7.0387085965,14.3706967179,35,local_max_drop,mp-1215347,Zr6Co2O,,,,,,,,,,9,170.34185146410738,18.92687238490082,152.65835624075717,0.8961881940852552,89.61881940852552
d-block,Co-Zr-O,Co,Zr,O,ZrCoO3_756665_POSCAR,-0.0705078201572078,7.298880239,-0.15073875740527,-0.0802309372480622,6.0404526116,12.3325907486,35,local_max_drop,mp-756665,ZrCoO3,,,,,,,,,,20,228.82372412305963,11.441186206152981,137.7649367384505,0.6020570518481798,60.20570518481798
