block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,metal
d-block,Zn-O,O,ZnO_1245255_POSCAR,-0.2042195388612414,13.8219035068,-0.52226286195939,-0.3180433230981485,12.7586801601,26.0489719935,35,local_max_drop,Zn
d-block,Cr-O,O,Cr2O3_1245091_POSCAR,-0.2040053360143489,13.7378450548,-0.56837456719815,-0.3643692311838011,12.7202269026,24.931644729,35,local_max_drop,Cr
d-block,Zn-O,O,ZnO_1245209_POSCAR,-0.2038882237641298,13.0968704848,-0.52107384334227,-0.3171856195781402,12.0894189091,24.682563606,35,local_max_drop,Zn
d-block,Ti-O,O,Ti2O3_776456_POSCAR,-0.2031457850032429,18.9572718469,-0.31209640890404,-0.1089506239007971,16.9961747593,32.0312524309,35,local_max_drop,Ti
d-block,Ti-O,O,Ti4O7_778663_POSCAR,-0.1994050302816906,8.5645154943,-0.31599603931737,-0.1165910090356793,7.9738592533,14.4710779042,35,local_max_drop,Ti
d-block,Ti-O,O,Ti8O15_565700_POSCAR,-0.1990489490075695,7.9794720118,-0.32452411827747,-0.1254751692699004,7.4291635972,13.4825561579,35,local_max_drop,Ti
d-block,Fe-O,O,Fe10O11_705555_POSCAR,-0.1969384072787003,8.2601916609,-0.41600920084408,-0.2190707935653796,7.599376328,16.1899756554,35,local_max_drop,Fe
d-block,Zn-O,O,ZnO_1245015_POSCAR,-0.1936192320138089,13.5101599385,-0.50671941126993,-0.3131001792561211,12.4709168664,25.4614552688,35,local_max_drop,Zn
d-block,Mn-O,O,MnO2_705430_POSCAR,-0.1921685756640354,8.187505984,-0.37435977798597,-0.1821912023219345,7.3102732,14.328135472,35,local_max_drop,Mn
d-block,Fe-O,O,Fe25O32_1194978_POSCAR,-0.1879315602255973,19.784279112,-0.47981331472758,-0.2918817545019826,17.501477676,37.285756788,35,local_max_drop,Fe
d-block,Ni-S,S,Ni17S18_28105_POSCAR,-0.1867732851825731,10.517651828,-0.40742522489184,-0.2206519397092669,9.7385665074,19.0875903546,35,local_max_drop,Ni
d-block,Ti-O,O,Ti10O13_753593_POSCAR,-0.1864596995770576,17.4648793332,-0.26738742366678,-0.0809277240897223,16.2604048965,29.509623701,35,local_max_drop,Ti
d-block,Mn-O,O,Mn2O3_771717_POSCAR,-0.1816033199276973,6.8955497,-0.3508760149185,-0.1692726949908026,6.3651228,12.99545905,35,local_max_drop,Mn
d-block,Mn-O,O,Mn21O40_766493_POSCAR,-0.1795467574692288,13.5265726197,-0.352083843629,-0.1725370861597711,12.5246042775,24.5482243839,35,local_max_drop,Mn
d-block,Fe-O,O,Fe17O18_705424_POSCAR,-0.1775445975539548,8.5162617494,-0.36706189912878,-0.1895173015748251,7.8349608095,16.6918730289,35,local_max_drop,Fe
d-block,Ni-O,O,Ni6O7_766450_POSCAR,-0.1769853746531678,6.5545461223,-0.30560094020648,-0.1286155655533122,5.798252339,12.3527984613,35,local_max_drop,Ni
d-block,Ti-O,O,Ti7O13_556724_POSCAR,-0.1766933843228429,8.0452008666,-0.2866045419327,-0.109911157609857,7.4903594275,13.5936152573,35,local_max_drop,Ti
d-block,V-O,O,VO2_1245059_POSCAR,-0.1761703043203723,15.303997472,-0.38358835496539,-0.2074180506450177,13.7735977248,24.9965292043,35,local_max_drop,V
d-block,V-O,O,V9O17_559485_POSCAR,-0.175748085477318,8.0685693825,-0.31581747666785,-0.1400693911905319,7.5121163216,13.6330999911,35,local_max_drop,V
d-block,Mn-O,O,Mn21O40_849596_POSCAR,-0.1756656369494806,7.8889881274,-0.3476639787411,-0.1719983417916193,7.3046186364,14.3170525274,35,local_max_drop,Mn
